title,abstract,keywords,year,journal_title,license,link_doi,link_pdf,query
Eastern genetic connections of two nomadic populations in the early medieval Carpathian Basin.,"The Carpathian Basin in Central Europe was settled by various nomadic populations from Asia in several migration waves during the Early Middle Ages. Here we present medieval ancient DNA from Avars and Hungarian Conquerors from the Carpathian Basin, as well as some ancient individuals from the Volga-Ural region and Western Siberia. We describe here their maternal genetic composition and highlight their connections to populations of Northeast and Central-Asia. We focus on the phylogeny of selected Asian mitochondrial lineages, belonging to haplogroups A12a, D4j and Y1a, which were detected in the aforementioned ancient populations",avars,2019,Ulan-Ude: Publishing House of BSC SB RAS,,,https://core.ac.uk/download/228401796.pdf,avars
Ethnic features of the major risk factors for cerebral stroke in Dagestan,"Held in the Republic of Dagestan in 2011 stroke registry allowed to establish the main factors of development of a stroke in a different nationalities. The highest number of risk factors of a stroke occurs in the Russian - 2,37, followed by kumyks — 2,24, lezgins - 2,06, laks - 2,04, dargins -1,92, avars -1,87 and the smallest number of risk factors have nogai -1,65.Проведенный в Республике Дагестан в 2011 году регистр инсульта позволил установить основные факторы развития инсульта у разных национальностей. Наиболее высокое количество факторов риска инсульта отмечается у русских — 2,37, затем следуют кумыки - 2,24, лезгины - 2,06, лакцы - 2,04, даргинцы -1,92, аварцы -1 ,8 7 и наименьшее количество факторов риска у ногайцев -1,65",avars,2013,Уральский Центр Медицинской и Фармацевтической Информации,,,https://core.ac.uk/download/581154810.pdf,avars
Первые контакты дунайских славян и авар: свидетельства византийских авторов и археологии,"This article addresses the question of the archaeological sites relating to the Danube Slavs (Sclavi), who first came into contact with the Avars in the sixth century. The isolated groups of the people of the Prague culture penetrated into the area in between of the Danube and the Adriatic, Pannonia to the south-west of Lake Balaton and the Eastern Alps in particular, from the first third of the sixth century onwards. These settlements possess some features similar to the Slavic sites of the Prague culture. No doubts, this area ap- peared under the rule of the Avars when the Pannonian Lombards migrated to Italy in 568 AD and left their lands for the Avars. The cemetery of Regensburg-Grossprüfening in Bavaria is of particular importance for the correct understanding of the situation in the region under study. The site contained 22 Slavic cremation graves, where Merovingian goods appeared. There were a few graves featuring prestigious artefacts. It has been assumed that there was the resettlement of the Slavs, most likely being an elite military grouping, ca 568 AD, under the pressure of the Avar expansion. If this interpretation is correct, there was a departure of the elites of the Middle Danubian Slavs from the Avar power zone. Perhaps it resulted in a change of the social structure of the Pannonian Slavs, which explained their more dependent place in the Avar Khanate, in contrast to those of the Lower Danubian and Balkan Slavs, who also found themselves in the sphere of the Avar power.Рассматривается вопрос, какие археологические памятники могут соответствовать дунайским славянам (склавинам), которые первые вошли в контакт с аварами в VI в. На территорию между Дунаем и Адриатикой, в Паннонию к юго-западу от озера Балатон, а также в Восточные Альпы славяне – носители культуры Прага отдельными группами проникают уже начиная с первой трети VI в. Эти поселения имеют черты, характерные для славянских памятников пражской культуры. Вне всякого сомнения, эта территория оказалась под властью авар после ухода паннонских лангобардов в Италию в 568 г., оставивших свои земли аварам. Для правильного понимания ситуации в этом регионе особое значение имеет могильник Регенсбург-Гросспрюфенинг (Regensburg-Grossprüfening) в Баварии, где исследовано 22 славянских погребения-кремации с присутствием меровингских вещей. В ряде могил обнаружены престижные вещи. Предполагается, что переселение сюда славян, скорее всего какой-то элитной воинской группировки, имело место около 568 г., под давлением аварской экспансии. Если это объяснение верно, то налицо уход элит среднедунайских славян из зоны аварского владычества. Возможно, это привело к изменению социальной структуры у паннонских склавинов, что и объясняет их более зависимое положение в Аварском каганате по сравнению с нижнедунайскими и балканскими славянами, также оказавшимися в орбите аварской власти",avars,2023,Античная древность и средние века,,10.15826/adsv.2023.51.004,https://core.ac.uk/download/599113561.pdf,avars
Ancient genomes reveal origin and rapid trans-Eurasian migration of 7th century Avar elites,"The Avars settled the Carpathian Basin in 567/68 CE, establishing an empire lasting over 200 years. Who they were and where they came from is highly debated. Contemporaries have disagreed about whether they were, as they claimed, the direct successors of the Mongolian Steppe Rouran empire that was destroyed by the Turks in ∼550 CE. Here, we analyze new genome-wide data from 66 pre-Avar and Avar-period Carpathian Basin individuals, including the 8 richest Avar-period burials and further elite sites from Avar’s empire core region. Our results provide support for a rapid long-distance trans-Eurasian migration of Avar-period elites. These individuals carried Northeast Asian ancestry matching the profile of preceding Mongolian Steppe populations, particularly a genome available from the Rouran period. Some of the later elite individuals carried an additional non-local ancestry component broadly matching the steppe, which could point to a later migration or reflect greater genetic diversity within the initial migrant population.- Introduction - Results -- Ancient DNA dataset and quality control -- The genomic structure of the pre-Avar-period population -- The genomic structure of the Avar-period population -- Modeling the eastern steppe ancestry of the elites in the core of the Avar empire -- The heterogeneous ancestry in the regions surrounding the Avar empire’s core - Discussion -- Limitations of the study - Star Method",avars,2022,'Elsevier BV',,10.1016/j.cell.2022.03.007,https://core.ac.uk/download/516203897.pdf,avars
A nomádok jelentősége a középkori Európában,"The Carpathian Basin and the lower Volga River were once centers of nomadic tribal confederacies and empires, which had a strong impact on medieval European history. As for the former, the Huns, Avars and Hungarians are worth mentioning. The Hungarians were converted in 1000 and with their Christianization they entered the Latin Europe. The Khazars played an important role in the history of Kievan Rus', whereas the Golden Horde had basic effect on the formation of Russia. The peoples of the steppe played an important role during the formation of Europe, a fact which has been neglected in historiography",avars,2011,,,,https://core.ac.uk/download/147052148.pdf,avars
High altitude adaptation in Daghestani populations from the Caucasus,"We have surveyed 15 high-altitude adaptation candidate genes for signals of positive selection in North Caucasian highlanders using targeted re-sequencing. A total of 49 unrelated Daghestani from three ethnic groups (Avars, Kubachians, and Laks) living in ancient villages located at around 2,000 m above sea level were chosen as the study population. Caucasian (Adygei living at sea level, N = 20) and CEU (CEPH Utah residents with ancestry from northern and western Europe; N = 20) were used as controls. Candidate genes were compared with 20 putatively neutral control regions resequenced in the same individuals. The regions of interest were amplified by long-PCR, pooled according to individual, indexed by adding an eight-nucleotide tag, and sequenced using the Illumina GAII platform. 1,066 SNPs were called using false discovery and false negative thresholds of ~6%. The neutral regions provided an empirical null distribution to compare with the candidate genes for signals of selection. Two genes stood out. In Laks, a non-synonymous variant within HIF1A already known to be associated with improvement in oxygen metabolism was rediscovered, and in Kubachians a cluster of 13 SNPs located in a conserved intronic region within EGLN1 showing high population differentiation was found. These variants illustrate both the common pathways of adaptation to high altitude in different populations and features specific to the Daghestani populations, showing how even a mildly hypoxic environment can lead to genetic adaptation",avars,2011,Springer-Verlag,,10.1007/s00439-011-1084-8,https://core.ac.uk/download/pdf/8702446.pdf,avars
INSTALLATION OF ELECTRONIC ELEVATORS AVARS AS ENERGY SAVING EQUIPMENT,"The project describes the technical features of the AVARS regulated elevator, and analyzes its work using the example of the Pyaterochka store. The difference of this equipment from the usual water-jet elevator is the presence of a throttle game. Depending on the outdoor temperature, it changes the cross-sectional area of the nozzle, thereby acting as weather automation.В статье описаны технические особенности регулируемого элеватора АВАРС, а также произведен анализ его работы на примере здания магазина «Пятерочка». Отличие данного оборудования от обычного водоструйного элеватора – наличие дроссельной иглы. В зависимости от температуры наружного воздуха, она изменяет площадь сечения сопла, тем самым выступая в качестве погодной автоматики",avars,2018,УрФУ,,,http://elar.urfu.ru/bitstream/10995/74721/1/ersps_2018_106.pdf,avars
Prekmurje – separation from Hungary and connection to Slovenia (1919–1920),"The issue of the presented article is a continuation of the author’s reflections concerning Central Europe in recent history. The main attention in this article was focused on a small, in terms of area and population, the historical-geographical region, which is Prekmurje. Till World War I it belonged to two western Hungarian administrative units of Vas and Zala, and together with the adjoining Porabje were called Vendvidek. Despite this fact the Slavic population of Prekmurje did not succumb to the Hungarian influences, which was the result of persisting in Prekmurje and neighboring lands of the cult of Saints Cyril and Methodius. A great importance in preserving the identification of the Slovenian population of Prekmurje was the role which played the Slovenian population in the security system called „Gyepű” and „Őrseg” (guard). Citations from publications of Hungarian authors, who admit that the Hungarians learned from the Avars to treat the Slavic population as a bulwark on the frontier taking the first blow of the enemy, are presented in the text. Therefore, the first villages of Prekmurje inhabited by the Hungarian population are separated at least several kilometers. An important role in the history, culture and shaping the national consciousness of the Slovenian population of Prekmurje played Prekmurje dialect of the Slovak language. Prekmurščina has four dialects known as Pannonia or Prekmurje. They are considered the closest to the roots of the old common Slavic language",avars,2012,Instytut Historii im. Tadeusza Manteuffla PAN w Warszawie,,,https://core.ac.uk/download/587232592.pdf,avars
First Contacts of the Danubian Slavs and Avars: The Evidences from the Byzantine Writers and Archaeology,"Поступила в редакцию: 18.06.2023. Принята к печати: 12.10.2023.Submitted: 18.06.2023. Accepted: 12.10.2023.Рассматривается вопрос, какие археологические памятники могут соответствовать дунайским славянам (склавинам), которые первые вошли в контакт с аварами в VI в. На территорию между Дунаем и Адриатикой, в Паннонию к юго-западу от озера Балатон, а также в Восточные Альпы славяне – носители культуры Прага отдельными группами проникают уже начиная с первой трети VI в. Эти поселения имеют черты, характерные для славянских памятников пражской культуры. Вне всякого сомнения, эта территория оказалась под властью авар после ухода паннонских лангобардов в Италию в 568 г., оставивших свои земли аварам. Для правильного понимания ситуации в этом регионе особое значение имеет могильник Регенсбург-Гросспрюфенинг (Regensburg-Grossprüfening) в Баварии, где исследовано 22 славянских погребения-кремации с присутствием меровингских вещей. В ряде могил обнаружены престижные вещи. Предполагается, что переселение сюда славян, скорее всего какой-то элитной воинской группировки, имело место около 568 г., под давлением аварской экспансии. Если это объяснение верно, то налицо уход элит среднедунайских славян из зоны аварского владычества. Возможно, это привело к изменению социальной структуры у паннонских склавинов, что и объясняет их более зависимое положение в Аварском каганате по сравнению с нижнедунайскими и балканскими славянами, также оказавшимися в орбите аварской власти.This article addresses the question of the archaeological sites relating to the Danube Slavs (Sclavi), who first came into contact with the Avars in the sixth century. The isolated groups of the people of the Prague culture penetrated into the area in between of the Danube and the Adriatic, Pannonia to the south-west of Lake Balaton and the Eastern Alps in particular, from the first third of the sixth century onwards. These settlements possess some features similar to the Slavic sites of the Prague culture. No doubts, this area appeared under the rule of the Avars when the Pannonian Lombards migrated to Italy in 568 AD and left their lands for the Avars. The cemetery of Regensburg-Grossprüfening in Bavaria is of particular importance for the correct understanding of the situation in the region under study. The site contained 22 Slavic cremation graves, where Merovingian goods appeared. There were a few graves featuring prestigious artefacts. It has been assumed that there was the resettlement of the Slavs, most likely being an elite military grouping, ca 568 AD, under the pressure of the Avar expansion. If this interpretation is correct, there was a departure of the elites of the Middle Danubian Slavs from the Avar power zone. Perhaps it resulted in a change of the social structure of the Pannonian Slavs, which explained their more dependent place in the Avar Khanate, in contrast to those of the Lower Danubian and Balkan Slavs, who also found themselves in the sphere of the Avar power",avars,2023,Издательство Уральского  университета,,10.15826/adsv.2023.51.004,https://elar.urfu.ru/bitstream/10995/128661/1/adsv-51-04.pdf,avars
On the Roman-Byzantine adoption of the stirrup once more:A new find from seventh-century Aphrodisias in Caria,"Archaeological evidence and the text of the Strategikon show that it was only in the late sixth century AD that the Roman-Byzantine military adopted the stirrup. It is now widely argued that the Avars, who settled in the Carpathian basin in the sixth century, played a key role in introducing iron stirrups to the Roman-Byzantine world. However, the evidence to support this assertion is limited. Although hundreds of stirrups have been found in Avar graves in the Carpathian basin, very few stirrups of sixth- or seventh-century date are known from the Roman-Byzantine empire - no more than seven - and only two of these are of definitively Avar type. The text of the Strategikon, sometimes argued to support this Avar source, can be interpreted differently, as indeed can the archaeological evidence. While the debate about the Roman-Byzantine adoption of the stirrup has focused mostly on finds from the Balkans, two early stirrups are known from Asia Minor, from Pergamon and Sardis. This paper presents a third, previously unpublished stirrup, from a seventh-century deposit at Aphrodisias in Caria; this is the first stirrup found in Asia Minor from a datable context. Here we present this find and its context, and use it to reconsider the model of solely Avar stirrup transmission that has dominated scholarship to date. So varied are the early stirrups that multiple sources of influence, Avar and other, and even a degree of experimentation, seem more likely to underpin the Roman-Byzantine adoption of this technology",avars,2021,'Cambridge University Press (CUP)',,10.1017/s0066154621000077,https://core.ac.uk/download/458040025.pdf,avars
Dácia Ravennai Anonymus Cosmographiájában,"Anonymous of Ravenna wrote his Cosmography in the early 9th century. This work is a detailed description of the world. The first and fourth books of Cosmography contain a description of Dacia. The present study examines the Dacia chapter. The study finds that Anonymous of Ravenna used Jordans’ Getica (The Origin and Deeds of the Goths) and History of Rome (Romana), an early version of the Tabula Peutingeriana, and Paul the Deacon’s History of the Lango-bards. Anonymous of Ravenna described the territory, rivers, cities and inhabitants of Dacia. Dacia appeared in Cosmography under the following names: Dacia Minor, Magna and Dacia Prima et Secunda. Anonymous of Ravenna also named Dacia under the name Gepidia because the Gepids occupied the territory of Dacia. He took this information from Getica. Anonymous of Ravenna listed the rivers of Dacia: Tisia, Tibisia, Drica Marisia, Ariane, Gilpit, Grisia, Flautasis, Danube (Ister). The names of the rivers of Dacia came from Jordan’s Getica. The territory of Dacia, based on the rivers, can be drawn. The fourth book of Cosmography contains the names of the cities in Dacia (Drubetis, Medilas, Pre-torich, Panonin, Gazanam, Masclianis, Tibis, Tema, Tiviscum, Gubali, Bersovia, Arcibada, Canonia, Potula, Bacaucis). Anonymous of Ravenna may have taken most of the toponyms from an early version of the Tabula Peutingeriana, but Tema, Canonia and Bacaucis are new names between the settlements. According to Anonymous, the Huns or Avars inhabited Dacia. Anonymous of Ravenna took this information from Paul the Deacon’s Langobard history. In the Cosmography, the description of Dacia differed from that of Dacia written by antique writers. Anonymous of Ravenna supplemented the data from antique books with information from his century",avars,2021,SZTE BTK Történeti Intézet,,,https://core.ac.uk/download/651713994.pdf,avars
750 Years of Koprivnica – The First Mention of Koprivnica in 1272 and What Happened Before and Afterwards,"U ovom radu središnja su tema događaji, ljudi i građevine spomenuti u ispravi iz 1272. godine kada je Koprivnica prvi put spomenuta u izvorima. Obrađena su različita dosadašnja čitanja izvora i izneseni neki novi pogledi na isto razdoblje. Prije toga analizira se niz događanja koja su dovela do doseljenja Hrvata u Podravinu, dakle, osnovne populacije na koju su se nadograđivale sve kasnije doseobe. Zatim se iznose podaci o arheološkim istraživanjima te analizira njihovo značenje s posebnim naglaskom na romaničku crkvu i groblje uz nju te na prijepore o najranijoj utvrdi u Koprivnici. Nakon poglavlja o dokumentu iz 1272. godine, prikazani su i analizirani podaci iz isprava do 1356. godine, a također i nova arheološka istraživanja nekadašnje franjevačke crkve na mjestu današnje župne crkve Sv. NikoleAlthough the central theme of the paper is a document from 1272, the events that led to the formation of the population in these areas, the people who will subsequently found Koprivnica, are presented first. It is based on the thesis that in 536 there was a major volcanic eruption that resulted in two consecutive years without a harvest and major demographic and social changes throughout the world. Societies on the Mediterranean were weakened, and in Central Asia the migration of the Avars started, which very quickly ended in Europe, and this nation, taking with it several Slavic tribes, occupied the Pannonian Plain, the regions north of it and the Balkans. The year 568, when the Avars and Slavs entered western Pannonia, can be considered the year of immigration of the Croats. The Avars ruled here for 200 years, and when they were defeated and disappeared, a hundred-year period of rule by Slavic princes followed. They were replaced by Hungarians who remain here, exerting a considerable influence on the societies in the confluence of the Sava and Drava rivers. When Hungarian society opened up to the west, we begin to discover the first facts about Podravina. Graves from the 11th century were discovered in the narrower area of Koprivnica, as well as one church that can be dated to the 12th century. At the beginning of the 13th century we obtain the first detailed information about Podravina, and from 1272 there is a document in which a building, more precisely a fortress named Koprivnica, is mentioned for the first time. In the aforementioned year, prince Ladislav was imprisoned in the fortress, the city was besieged, but the siege was interrupted due to the death of Ladislav’s father. It remains unclear who kidnapped the king, who freed him and took him to the coronation, and what was the role of the castellan Bahaler. The doubt about where the aforementioned Koprivnica fortress was located is also unresolved. Shortly after the aforementioned events, the Franciscans arrived to Koprivnica, where they were given the use of the former parish church, and in the first half of the 14th century they build a new church on the same site whose foundations were discovered by recent archaeological research. In 1308, the settlement of Koprivnica itself was mentioned for the first time, which very quickly progressed from an ordinary manor market to the status of a free royal city",avars,2022,,,,https://core.ac.uk/download/552834749.pdf,avars
Μεταξύ Αττίλα και Βαϊανού. Το Βυζάντιο και οι νομαδικοί λαοί από το 453 έως το 558,"Between Attila and Bajan. Byzantium and the nomads from 453 to 558 The paper highlights the relations of Byzantium with the nomads in the period between the collapse of the Hunnic hegemony in Central Europe and the coming of the Avars to the northern frontiers of the Empire. Taking into account the written testimonies, as well as the archaeological finds, the geographical area of the nomadic settlements, the conflicts and treaties with Byzantium, the role of the nomads in the Byzantine-Persian relations, the nomad mercenaries in the Byzantine army and certain Byzantine finds, as jewellery, swords, pendant capsule or other decorative motifs are considered. These relations are distinguished in two periods, before and after 491. During the first one, the Empire was able to control the activity of the nomads offering them settlement permit on Byzantine soil, while for the second is noted, beside the strong conflicts, the cultural influence of Byzantium through Christianity and, on the other hand, the nomadic influences on the Byzantine army. Between Attila and Bajan. Byzantium and the nomads from 453 to 558 The paper highlights the relations of Byzantium with the nomads in the period between the collapse of the Hunnic hegemony in Central Europe and the coming of the Avars to the northern frontiers of the Empire. Taking into account the written testimonies, as well as the archaeological finds, the geographical area of the nomadic settlements, the conflicts and treaties with Byzantium, the role of the nomads in the Byzantine-Persian relations, the nomad mercenaries in the Byzantine army and certain Byzantine finds, as jewellery, swords, pendant capsule or other decorative motifs are considered. These relations are distinguished in two periods, before and after 491. During the first one, the Empire was able to control the activity of the nomads offering them settlement permit on Byzantine soil, while for the second is noted, beside the strong conflicts, the cultural influence of Byzantium through Christianity and, on the other hand, the nomadic influences on the Byzantine army.",avars,2014,'National Documentation Centre (EKT)',,10.12681/byzsym.1139,https://core.ac.uk/download/188022240.pdf,avars
Avar kori ásólapátok és ásóvasalások az avar kori szállásterületről,"More than three hundred agricultural tools (mostly sickles) dated to the Avar period (567-822) were found during the excavations of the last 120 years, but only a few spades discovered in the territory were ruled by the Avars. The spades were not just agricultural tools, they were also used to built different kinds of earthworks, such as graves, or construction of dwelling houses and fortifications. The new finds point out that, in the latter times ( for example in the Arpadian Age) popular wooden spades with iron edges were used besides the uniqe designed spades made fully from iron. These well-dated „spade irons” are the newer evidences of the tool-continuity between the Avar and Arpadian Period farming implements",avars,2020,A Kaposvari Rippl-Ronai Muzeum Kozlemenyei,,10.26080/krrmkozl.2020.7.125,https://core.ac.uk/download/362658826.pdf,avars
"Új könyv a ""kettős honfoglalásról"" : (megjegyzések egy a magyarság korai történetét tárgyaló mű margójára)","Several Hungarian experts including historians, linguists, archeologists (for example: Gyula László, Dezső Csallány or János Makkay) supposed that Hungarians moved to the Carpatian Basin first in the 5-7t h centuries. But the historical, linguistic and archeological data do not corroborate such an early Hungarian conquest. Péter Király tried to prove that the Hungarians appeared in the Carpatian Basin in the 561/562, and settled down there in the 590 on the basis of the testimony of Latin, Byzantine and Slavic sources. These sources refer to the Avars, Goths and Western-Turks and other nomadic peoples, which Király connected mistakenly to the Hungarians. His interpretation of the sources proving his theory is based on interpolations, anachronisms and erroneous translation, which is enumerated in detail. The sources do not underlie an early Hungarian conquest in the Carpatian Basin in the 5-7t h centuries",avars,2007,,,,https://core.ac.uk/download/147052112.pdf,avars
Paths of Western Law After Justinian,"Abstract This article relates the story of the paths of Roman law from the periods immediately before the gradual dissolution of the Western Roman Empire following the death of Justinian I in 565 A.D. through the several centuries thereafter. This period witnessed an acceleration of the absorption of Roman law into the customary law of the various Germanic groups that now occupied and ruled the former Roman territories, and the recitation of such new law in the form of new law codes promulgated by three major Gothic groupings: the Lombards, the Burgundians and the Salacian Franks. In the main, the new Germanic rulers were attentive to the need for laws that would suit both (1) German customary law as followed for many centuries; with (2) the Roman law to which their Roman constituencies had adhered. Importantly, even such Roman law as would be applied was only a bowdlerized version of Justinian’s contributions, as the Digests and other interpretative parts of the comprehensive Corpus Juris Civilis were somehow lost. Thus for the first several centuries of Germanic rule, the only remnant of written Roman law available was the blunt- edged summarization contained in the Code of Justinian. Germanic law was revolutionized by the new experience of governing stable agricultural communities. The Gothic codes also advanced continental law in many ways that today can be seen as building blocks of emerging western law. Perhaps most significantly, the three law codes studied here demonstrate a preferment for resolution of disputes by means of composition (compensation), and included monetary incentives therefore. By such means the Goths were largely successful in turning their culture away from its kinship origins of violent justice, and towards systems of composition for injury. Further to this end were the adoption of wergeld as an appropriate compensation for a homicide, and also the widespread use of codified tables of composition to be associated with particularized wrongs. These gave an increased likelihood of evenhanded administration of justice, and also a money incentive for the family of a victim to forego mayhem to solve disputes. In addition to blood feud, many other ancient Germanic practices, such as trial by boiling water, were tamed or eliminated in the pursuit of new agricultural societies. And the codes adopted remarkably modern distinctions between intentional and accidental harm, as well as negligence standards that employed uncannily modern standards of duty and proximate cause. In sum, the law codes of the Lombards, the Burgundians and the Salacian Franks provided a civilizing legal bridge between the fall of the Western Empire and the more westernized law codes that would follow in the later Middle Ages",burgundians,2006,DigitalCommons@Pace,,,https://core.ac.uk/download/46709785.pdf,burgundians
Algunas consideraciones sobre las servidumbres en la Lex Romana Burgundiorum,"[Resumen] A principios del sigloVI, el rey burgundio Gundobado trataba de crear un estado territorial borgoñon en las tierras que los burgundios ocupaban como foederati, en la parte occidental del Imperio romano. Se propuso lograr una pacífica convivencia, tra- tando de compaginar los derechos e intereses de la población romana y los de la pobla- ción burgundia. Con esta finalidad promulgó la Lex Burgundionum y un poco más tarde, la Lex Romana Burgundionum. Teniendo en cuenta éste contexto, con el presente trabajo se trata de poner de manifiesto el componente romano que se aprecia en la legislación borgoñona, que en éste caso lo centraremos en el estudio de las servidumbres, reguladas en el Tít. XVII de la Lex Romana Burgundionum: De clausis itineribus vel aliis servitutibus.[Abstract] At the beginning of the VI century, the burgundian king Gundobado tried to cre- ate a burgundian territorial state in the occidental area of the roman empire, which the burgundians occupied as foederati. He was aiming to achieve a peaceful coexistence, trying to set common rights and interests between the roman and the burgundian popu- lation. With this purpose intention the Lex Burgundionum and later the Lex Romana Burgundionum were promulgated. Taking this context into account, the present work aims at underlining the roman component that can be appreciated at the burgundian legislation, which we will focus in this case on the study of the servitudes, regulated by Tít.XVII from Lex Romana Burgundionum: De clausis itineribus vel aliis servitutibus",burgundians,2008,'Universidade da Coruna',,,https://core.ac.uk/download/61901290.pdf,burgundians
Iustitia and Corruptio in Liber Constitutionum sive Lex Gundobada,"After 476, Flavius Gundobadus, King of the Burgundians (473–516), sought ways and means to consolidate and strengthen his power, including through legal regulation of the relations between the Burgundians themselves, on the one hand, and between the Burgundians and the Gallo-Romans, on the other. Thus, Liber Constitutionum sive Lex Gundobada was issued, the main purpose of which is the legal regulation of the complex relations in the kingdom, through a codification of the preserved customary law – an embodiment of tribal traditions, practices, and customs, with reasonable use of Roman legal ideas, notions, and norms.The translation and analysis of selected provisions from Lex Gundobada in this paper show the extent to which the Burgundians perceived, received, adopted, and adapted some of the most valuable Roman legal and moral rules and principles, especially the Roman concepts of iustitia and corruptio, and how the rights of both the Burgundians and the Romans were regulated and protected through them.Lex Burgundionum is part of a series of legal Barbarian codes, compiled, adapted, published, and applied in the Barbarian regna between the 5th and 9th centuries. These codes are one of the significant and true sources for the historical reconstruction of the socio-political, socio-cultural, and legal-administrative transition from the late Roman Empire to the German kingdoms and early medieval Europe. They manifest how historically the arena of clashes, confrontations, and wars between Romanitas and Barbaritas gradually became a contact zone of legal reception, of cultural, legal, and socio-political influences, from which a new world will be born, a successor to the old ones, and a new legal system – the Romano-Germanic one",burgundians,2022,'Uniwersytet Lodzki (University of Lodz)',,10.18778/2084-140x.12.35,https://core.ac.uk/download/553632377.pdf,burgundians
The legend of Jeanne d’Arc: illustrations by Gravelot for Voltaire’s La Pucelle d’Orleans (1762),"This study examines Voltaire’s (1694-1778) poem La Pucelle d’Orléans (The Maid of Orléans) of 1762 and the accompanying illustrations by Gravelot (1699-1773) as an adaptation of the fifteenth-century legend of Jeanne d'Arc (1412-31). The original narrative tells of Jeanne who led the French army of Charles VII to victory against the English in alliance with Burgundians in the Hundred Years’ War (1337-1453). This thesis argues that Voltaire and Gravelot dramatically altered this original narrative to make points with eighteenth-century significance. It examines the ways in which Voltaire and Gravelot were drawing upon eighteenth-century discourses on gender and class, and those concerning the French monarchy and the Catholic Church. In particular, this study offers an insight into how Gravelot’s illustrations conveyed his understanding of Voltaire’s poem to an eighteenth-century audience. The relationship between the text and the images for the 1762 edition of La Pucelle has been overlooked by previous scholarship. It shows how Gravelot’s illustrations were more than a supporting tool for the poem and that they played an important role in heightening the readers’ understanding and enjoyment of Voltaire’s La Pucelle d’Orléans",burgundians,2011,,,,https://core.ac.uk/download/1631580.pdf,burgundians
The Historical Significance of the Rivalry between Alamanni and Burgundians in the Fourth Century,"Este trabajo pretende reflexionar respecto de los motivos subyacentes a la rivalidad entre alamanes y burgundios de la que dan cuenta las fuentes latinas. Para ello, realizaremos un estudio comparativo entre ambos pueblos con el fin de problematizar la interpretación tradicional según la cual el motivo de la discordia residiría en la diversidad de sus estructuras políticas.This work aims to reflect on the motives underlying the rivalry between Alamanni and Burgundians according to Latin sources. To do so, we propose to carry on a comparative study between both peoples in order to problematize the traditional interpretation according to which the reason for the conflict resided in the diversity of their respective political structures",burgundians,2023,'Editorial de la Facultad de Filosofia y Letras - Universidad de Buenos Aires',,10.34096/ahamm.v56.2.11374,https://core.ac.uk/download/553288791.pdf,burgundians
Erfolgreiche Vertragskonzepte oder foedera incerta?,"The present study deals with the foreign policy of the Western Roman Empire towards those Germanic tribes that were able to form sovereign states on Roman soil in connection with the fall of Western Rome: the Burgundians, the Vandals, the Suebi and the Visigoths. The central object of investigation is the international legal relations between the Empire and the various gentes in the 5th century. A collection of the West Roman-Germanic treaties - together with a presentation of their historical background - provides a sufficient overview of the political attitude of the Western Empire towards the Germanic peoples in the final phase of its disintegration process. Is there a certain ""red thread"" in West Rome's foreign policy",burgundians,2022,'Staats- und Universitatsbibliothek Hamburg Carl von Ossietzky',,10.15460/hup.hhd.008.206,https://core.ac.uk/download/534901819.pdf,burgundians
"Coins, monetisation and re-use in medieval England and Wales: new interpretations made possible by the Portable Antiquities Scheme.","Coins are a vital source of evidence for many aspects of the medieval past. In this thesis a large volume of provenanced coin records collected and published online by the Portable Antiquities Scheme (PAS) are analysed to look for patterns of monetization and coin use in medieval England and Wales. While the approach used here will make full use of numismatic methods it also seeks to evolve an interdisciplinary perspective to the data. As well as providing the first national study of this kind the research also aims to draw out evidence for alternative, non-monetary uses of coins, including the adaption of coinage for other purposes, for example jewellery. Additionally the impact and various roles played by imported foreign coins will be assessed to provide a new perspective on England’s links with its near Continental neighbours and beyond. The results demonstrate a long and complex story of coin use and monetisation over the study period. The spread of coin use was intimately linked to coin production which was itself a geographically contingent phenomenon absorbing metals through trade with the Continent. Coin distributions were also subject to dynamics such as levels of population and other demographic factors. Foreign coins played an important role at times in English currency, if not always a welcome one. The political contacts of the English crown is borne out in the appearance of many imported coins but direct trading links, for example with Venice, mutually beneficial currency agreements, as arranged with the Burgundians in the fifteenth century, or coins as the simple souvenirs of pilgrims also played a part. By exploring the re-use of coins this thesis significantly expands current understandings of how medieval people viewed coinage and how they attributed new meanings to them",burgundians,2013,,,,https://core.ac.uk/download/16281061.pdf,burgundians
